gameorder,game_id,_iscopy,year_id,date,seasongame,is_playoffs,team_id,fran_id,pts,elo_i,elo_n,opp_id,opp_fran,opp_pts,opp_elo_i,opp_elo_n,game_location,game_result,forecast
869,201804150DAL,0,2018,04/15/2018,2,0,DAL,Roughnecks,20,1663.4559246449048,1670.4065107346255,LA,Aviators,17,1554.9749682170495,1548.0243821273289,H,W,0.7296564398199994
869,201804150DAL,1,2018,04/15/2018,3,0,LA,Aviators,17,1554.9749682170495,1548.0243821273289,DAL,Roughnecks,20,1663.4559246449048,1670.4065107346255,A,L,0.2703435601800006
870,201804210DET,0,2018,04/21/2018,3,0,DET,Mechanix,12,1334.4518106625455,1325.28619792162,MAD,Radicals,27,1656.4246278061962,1665.5902405471218,H,L,0.18467174401235564
870,201804210DET,1,2018,04/21/2018,2,0,MAD,Radicals,27,1656.4246278061962,1665.5902405471218,DET,Mechanix,12,1334.4518106625455,1325.28619792162,A,W,0.8153282559876444
871,201804210MIN,0,2018,04/21/2018,2,0,MIN,Windchill,24,1559.3302566397663,1562.891516398539,CHI,Wildfire,23,1456.1558513188986,1452.594591560126,H,W,0.7235887141715297
871,201804210MIN,1,2018,04/21/2018,2,0,CHI,Wildfire,23,1456.1558513188986,1452.594591560126,MIN,Windchill,24,1559.3302566397663,1562.891516398539,A,L,0.2764112858284703
872,201804210ATL,0,2018,04/21/2018,3,0,ATL,Hustle,19,1504.1111129673113,1509.531867686782,TB,Cannons,18,1499.9448865120098,1494.524131792539,H,W,0.5968594365528044
872,201804210ATL,1,2018,04/21/2018,4,0,TB,Cannons,18,1499.9448865120098,1494.524131792539,ATL,Hustle,19,1504.1111129673113,1509.531867686782,A,L,0.4031405634471956
873,201804210PHI,0,2018,04/21/2018,2,0,PHI,Phoenix,26,1400.9538020256202,1423.646484630621,MTL,Royal,21,1543.1936351908898,1520.500952585889,H,W,0.38926930792149556
873,201804210PHI,1,2018,04/21/2018,2,0,MTL,Royal,21,1543.1936351908898,1520.500952585889,PHI,Phoenix,26,1400.9538020256202,1423.646484630621,A,L,0.6107306920785045
874,201804210SFX,0,2018,04/21/2018,3,0,SF,Flamethrowers,18,1616.4236628857534,1590.0395581754087,TOR,Rush,28,1650.672228560866,1677.0563332712106,H,L,0.5427114092873191
